Score,Min_ratio,Max_ratio
100,0,0.1932
99,0.1932,0.2384
98,0.2384,0.2708
97,0.2708,0.2973
96,0.2973,0.3202
95,0.3202,0.3407
94,0.3407,0.3595
93,0.3595,0.3769
92,0.3769,0.3932
91,0.3932,0.4087
90,0.4087,0.4234
89,0.4234,0.4376
88,0.4376,0.4513
87,0.4513,0.4646
86,0.4646,0.4774
85,0.4774,0.49
84,0.49,0.5022
83,0.5022,0.5142
82,0.5142,0.526
81,0.526,0.5376
80,0.5376,0.549
79,0.549,0.5603
78,0.5603,0.5714
77,0.5714,0.5824
76,0.5824,0.5933
75,0.5933,0.6041
74,0.6041,0.6148
73,0.6148,0.6255
72,0.6255,0.6361
71,0.6361,0.6466
70,0.6466,0.6571
69,0.6571,0.6676
68,0.6676,0.678
67,0.678,0.6884
66,0.6884,0.6989
65,0.6989,0.7093
64,0.7093,0.7197
63,0.7197,0.7301
62,0.7301,0.7406
61,0.7406,0.7511
60,0.7511,0.7616
59,0.7616,0.7721
58,0.7721,0.7827
57,0.7827,0.7933
56,0.7933,0.804
55,0.804,0.8148
54,0.8148,0.8256
53,0.8256,0.8365
52,0.8365,0.8475
51,0.8475,0.8586
50,0.8586,0.8697
49,0.8697,0.881
48,0.881,0.8924
47,0.8924,0.9039
46,0.9039,0.9155
45,0.9155,0.9273
44,0.9273,0.9392
43,0.9392,0.9513
42,0.9513,0.9636
41,0.9636,0.976
40,0.976,0.9886
39,0.9886,1.0014
38,1.0014,1.0144
37,1.0144,1.0277
36,1.0277,1.0411
35,1.0411,1.0549
34,1.0549,1.0689
33,1.0689,1.0833
32,1.0833,1.0979
31,1.0979,1.1129
30,1.1129,1.1282
29,1.1282,1.144
28,1.144,1.1601
27,1.1601,1.1767
26,1.1767,1.1939
25,1.1939,1.2115
24,1.2115,1.2297
23,1.2297,1.2486
22,1.2486,1.2681
21,1.2681,1.2884
20,1.2884,1.3096
19,1.3096,1.3317
18,1.3317,1.3548
17,1.3548,1.3791
16,1.3791,1.4047
15,1.4047,1.4318
14,1.4318,1.4606
13,1.4606,1.4913
12,1.4913,1.5244
11,1.5244,1.5602
10,1.5602,1.5994
9,1.5994,1.6426
8,1.6426,1.691
7,1.691,1.7461
6,1.7461,1.8104
5,1.8104,1.8877
4,1.8877,1.9855
3,1.9855,2.1205
2,2.1205,2.3444
1,2.3444,2.3444